username;caption;tag;tagId;link
"ninjasushibar";"Hoje pode ser dia de #terçadoTemaki, mas aqui no Ninja você também encontra outras delícias de dar água na boca 😋 #VemProNinja\n#comidajaponesa #comidaoriental #eatsushi #foodlovers #foodpics #fusion #gastronomia #harumaki #instafood #japanesefood #makimono #ninjasuhinatal #sashimi #sushi #sushibar #sushilife #sushilovers #temakeria #temaki #tempura";tempura;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10632242_243457502656500_475662917_n.jpg?ig_cache_key=MTIwNjgxODAxMjA4MDA1NjA4NA%3D%3D.2"
{"username":"dilettacancelli","username":"evalupo","username":"gretaaanettii","username":"chiara_cusimano"};"Serata Jappo..🍣🍤🍱\n#sushi #sashimi #sushitime #uramaki #tempura #japan #japanesefood #arigato #sonasegaiosusughi #friends #girls #food #instamoment #instafood";tempura;2;"https://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/12797766_802975729834231_1059107561_n.jpg?ig_cache_key=MTIwNjgxNzIwNTEyNDI4MzI4NQ%3D%3D.2"
"pokecchi";"＊\n半熟卵の天ぷら美味しいし、刺身が分厚い😳\n色々食べたけど全部美味しかった\n\n#米福 #京都 #kyoto #四条 #四条烏丸\n#天ぷら #刺身 #tempura #sashimi\n#instafood #instagood #food\n#foodpics #foodporn #japan #japanesefood";tempura;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12797874_1091511900869444_996793042_n.jpg?ig_cache_key=MTIwNjgxNjc1NjYxODgzNTg0Nw%3D%3D.2"
"marika_zanerolli";"Come rotolare in 4 semplici round 🍱🍣 #sushi #moroboshi #catania #uramaki #tempura #hosomaki #food";tempura;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12826016_602253246592706_155147944_n.jpg?ig_cache_key=MTIwNjgxNDU2ODkxODM4MTM5NA%3D%3D.2"
"foodiefarin";"Scrumptious tempura veggies #veggies #tempura #deepfried #appetizer #seattlefood";tempura;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12825909_957292904354292_1237892848_n.jpg?ig_cache_key=MTIwNjgxMTY0NzM0ODYzNTA2MA%3D%3D.2.l"
"bluecheeze_and_crackerz";"#dinner with @articulationsvlog at #hosu #bistro\n. \n#Japanese #chicken #teryaki #shrimp #vegetable #tempura #Korean #bulgogi #instagood #instahappy #food #foodie #foodorn";tempura;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10601675_173901756328306_1410021137_n.jpg?ig_cache_key=MTIwNjgxMTM1MjM3MTM2MDMwMA%3D%3D.2.l"
"divingincolours";"Having some #delicious #tempura #bites in #casamonomadrid\n\n#divingincolours #divinginmadrid #igers #gastronomy #foodies #tapas #foodphotography #instalike #loveit #yummy #latergram #repost #nofilter #photooftheday #lunch #friends #citylife #style #repost #goodnight";tempura;2;"https://scontent.cdninstagram.com/l/t51.2885-15/s640x640/sh0.08/e35/12825699_1710544685896657_2137882177_n.jpg?ig_cache_key=MTIwNjgwODUyNTU5MTI1MTE3MA%3D%3D.2.l"
"a___nn___a";"Yummmmmmm 😋 #sushi #tempura #salmon";tempura;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/926371_983939394987682_429117682_n.jpg?ig_cache_key=MTIwNjgwNzI3ODI3MDQ0NDAxMw%3D%3D.2"
"davidrussell731";"Homemade #sushi night with veggie #makiroll , #bacon wrapped #asparagus and #sweetpotato #tempura #yum #bestgirlfriendever";tempura;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10632217_546504792194209_1530116046_n.jpg?ig_cache_key=MTIwNjgwNTc5NzkxNzMzNjg4MQ%3D%3D.2"
"mrs_ryangosling";"I can eat this every day! 🇯🇵";tempura;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12825911_248398605497064_2016410224_n.jpg?ig_cache_key=MTIwNjgwNTUwMzA3MTI5NjE4NQ%3D%3D.2.l"
"r8ychan";"Go Go Currrryy!!!😍 #newyork #fried #pork #gogocurry #nyc #curry #japanese #food #chicken #shrimp #tempura #sausage #egg #rice #cabbage #manhattan #foodgasm #newyorkcity #foodporn #yummy #nomnom #instagood #japanesefood #lunch #delicious";tempura;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/1168753_1810483829179185_320967236_n.jpg?ig_cache_key=MTIwNjgwNTM0OTk4MDg0ODk1Ng%3D%3D.2"
{"username":"jefftylerchef","username":"novikovrestaurant"};"Lovely Lobster Tempura being served in the Asian Restaurant just now. Yum yum. @novikovrestaurant #Novikov";tempura;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12328203_2008618926029890_254049990_n.jpg?ig_cache_key=MTIwNjc5NzI2Njc2NzUwNjI3MQ%3D%3D.2"
"ma_ko66";".\n今週の桜テーマに乗っかり奇跡的に桜色の和菓子いただきました！笑\n.\nっていうか、朝からアナゴの天ぷら。\n昨晩は穴子丼にしましたが、\n今朝はさっぱり、おろしネギごまポン酢添えました。\n食べきらんやろうから、残りはお弁当に。\nというか穴子をまっすぐ揚げるのにこれまた大変。\nさいばしを4本使って大騒動でした。\nみんなどないしてるんやろ。\nとりあえず天ぷらなんで、付け合わせは箸休め系のさっぱりに。\n.\n.\n.\n.\n.\n＊ちりめんじゃこおにぎりと梅おにぎり\n＊お手製ぬか漬け(長芋・にんじん）\n＊しば漬けきゅうり\n＊穴子の天ぷら、おろしネギごまポン酢付\n＊うずらとろろ（下ににネギ醤油ひいてます）\n＊しらすとピーマンの和え物\n＊一六本舗の『一六タルト 桜』\n.\n.\n.\n#朝ごはん#朝食#朝食プレート#おうちごはん#うちごはん#ごはん#和食#好吃#食#常備菜#料理\n#おにぎり#ワンプレート#ワンプレートごはん#和ンプレート#おうちカフェ#デリスタグラマー \n#breakfast#japanesefood#food\n#healthyfood #japanesecuisine#f52grams  #lin_stagrammer#tempura #kaumo\n#KURASHIRUFOOD\n#먹스타그램#음스타그램#맛스타그램\n.\n.\n.";tempura;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/926130_242050919471486_1840977169_n.jpg?ig_cache_key=MTIwNjc5NTQwMTE2OTUyNzMxMg%3D%3D.2"
{"username":"galeria858","username":"villagourmet.rec","username":"kwaiburger"};"Vc já comeu #Hamburguer com #tempura de #Bacon?\n.\nEstamos no seu aguardo, #altodomoura o nome dele!";tempura;2;"https://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/12798045_239044529772320_107354012_n.jpg?ig_cache_key=MTIwNjc4OTYzNzkzMzQxNjAzOA%3D%3D.2"
"cakeandbakeco";"#veg #tempura rolling the #pancake";tempura;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/1169175_964715633583153_1058227127_n.jpg?ig_cache_key=MTIwNjc4NTY1OTUzMzgwMzA3MA%3D%3D.2"
"xpiredtime";"#sushi #sashimi #salmon #food #foodporn #salmonroses #japan #japanese #cuisine #Toronto #foodie #gta #greatertorontoarea #tempura";tempura;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/1662458_204158529944331_561583471_n.jpg?ig_cache_key=MTIwNjc4MDIzMzAwMTk4NDIxMw%3D%3D.2.l"
"leegyusun";"#먹스타그램 #daily #데일리 #맞팔 #like #좋아요 #소통 #instafood #집스타그램 #굿모닝 #온더테이블 #커피 #아메리카노 #더치커피 #coffee #모닝커피 #온더테이블 #onthetable #홈메이드 #인친 #선팔하면맞팔 #토스트 #자몽 #toast #해먹남녀 #플로리다자몽";toast;3;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12825911_1042062792506822_790212124_n.jpg?ig_cache_key=MTIwNjgyNTE1MDA2NjYwNDgzMg%3D%3D.2"
"ayu_macaron_cafe";"3/16*\nおはようございます🍽\n今日の朝食はカンタンオープンサンド。っていうのか？ピザトーストかな？\nケチャップ→ハム→チーズ→マヨで洗い物をお皿以外出さないエコな時短朝食（笑）\nミニチュアは願望です（笑）誰か朝ごはん作って欲しい😭野菜たっぷり朝食憧れです😭\n*\n今日は挨拶で勤務地へ行ってまいります!\n毎日通勤していたところですが、90分くらいかかるのでベビ連れは小旅行気分。#ドキドキ \n皆様も良い1日を！\n*\n*\n#おうちカフェ #朝ごはん #トースト #ピザトースト #デリスタグラマー #ミニチュア大好き #ディズニーミニチュア #カメラ好きな人と繋がりたい #写真好きな人と繋がりたい #igersjp #LIN_stagrammer #kurashirufood #coffee #toast #foodpic #food #breakfast #クッキングラム #時短飯 #時短クッキング #foodstagram #instafood";toast;3;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10748490_280888092244118_1250935523_n.jpg?ig_cache_key=MTIwNjgyNDIwMzUxMDMzNjEwNg%3D%3D.2"
"dustbunnyspirit";"Can it get any better pan fried? #trout #brusselsprouts #friedegg #toast #breakfast";toast;3;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12139614_1215448918472722_260330598_n.jpg?ig_cache_key=MTIwNjgyMzc5MTgwNjQwNzg1Mw%3D%3D.2"
